ticker,0
A,0
AAL,3
AAP,3
AAPL,2
ABBV,0
ABC,0
ABMD,2
ABT,0
ACGL,0
ACN,0
ADBE,2
ADI,0
ADM,0
ADP,0
ADSK,2
AEE,0
AEP,0
AES,2
AFL,0
AIG,3
AIZ,0
AJG,0
AKAM,0
ALB,2
ALGN,2
ALK,3
ALL,0
ALLE,0
AMAT,2
AMCR,0
AMD,2
AME,0
AMGN,0
AMP,2
AMT,0
AMZN,0
ANET,2
ANSS,0
AON,0
AOS,0
APA,2
APD,0
APH,0
APTV,2
ARE,0
ATO,0
ATVI,0
AVB,0
AVGO,2
AVY,0
AWK,0
AXP,0
AZO,0
BA,3
BAC,0
BALL,0
BAX,0
BBWI,3
BBY,2
BDX,0
BEN,3
BF-B,0
BIIB,3
BIO,0
BK,0
BKNG,3
BKR,3
BLK,0
BMY,0
BR,0
BRK-B,0
BRO,0
BSX,0
BWA,3
BXP,3
C,3
CAG,0
CAH,0
CAT,0
CB,0
CBOE,0
CBRE,0
CCI,0
CCL,3
CDNS,2
CDW,0
CE,0
CF,2
CFG,3
CHD,0
CHRW,0
CHTR,0
CI,0
CINF,0
CL,0
CLX,0
CMA,3
CMCSA,0
CME,0
CMG,2
CMI,0
CMS,0
CNC,2
CNP,0
COF,3
COO,0
COP,2
COST,0
CPB,0
CPRT,0
CPT,0
CRL,2
CRM,2
CSCO,0
CSGP,2
CSX,0
CTAS,0
CTLT,2
CTRA,3
CTSH,0
CVS,0
CVX,0
CZR,1
D,0
DAL,3
DD,3
DE,2
DFS,2
DG,0
DGX,0
DHI,2
DHR,0
DIS,0
DISH,3
DLR,0
DLTR,0
DOV,0
DPZ,0
DRI,2
DTE,0
DUK,0
DVA,3
DVN,2
DXC,3
DXCM,2
EA,0
EBAY,0
ECL,0
ED,0
EFX,0
EIX,0
EL,0
ELV,2
EMN,0
EMR,0
ENPH,1
EOG,2
EPAM,2
EQIX,0
EQR,0
EQT,2
ES,0
ESS,0
ETN,0
ETR,0
ETSY,1
EVRG,0
EW,0
EXC,0
EXPD,0
EXPE,3
EXR,0
F,3
FANG,2
FAST,0
FBHS,3
FCX,2
FDS,0
FDX,3
FE,0
FFIV,0
FIS,0
FISV,0
FITB,3
FLT,0
FMC,0
FRC,0
FRT,3
FTNT,2
FTV,0
GD,0
GE,3
GILD,0
GIS,0
GL,0
GLW,0
GM,3
GNRC,2
GOOG,0
GOOGL,0
GPC,0
GPN,0
GRMN,0
GS,0
GWW,0
HAL,3
HAS,3
HBAN,3
HCA,2
HD,0
HES,2
HIG,0
HII,0
HLT,0
HOLX,0
HON,0
HPE,3
HPQ,2
HRL,0
HSIC,0
HST,3
HSY,0
HUM,0
HWM,2
IBM,0
ICE,0
IDXX,2
IEX,0
IFF,0
ILMN,2
INCY,3
INTC,3
INTU,2
INVH,0
IP,3
IPG,0
IQV,0
IR,2
IRM,0
ISRG,2
IT,2
ITW,0
IVZ,3
J,0
JBHT,0
JCI,0
JKHY,0
JNJ,0
JNPR,0
JPM,0
K,0
KDP,0
KEY,3
KEYS,2
KHC,3
KIM,3
KLAC,2
KMB,0
KMI,0
KMX,3
KO,0
KR,0
L,0
LDOS,0
LEN,2
LH,0
LHX,0
LIN,0
LKQ,0
LLY,2
LMT,0
LNC,3
LNT,0
LOW,0
LRCX,2
LUMN,3
LUV,3
LVS,3
LW,0
LYB,3
LYV,2
MA,0
MAA,0
MAR,2
MAS,0
MCD,0
MCHP,2
MCK,0
MCO,0
MDLZ,0
MDT,0
MET,0
META,3
MGM,2
MHK,3
MKC,0
MKTX,0
MLM,0
MMC,0
MMM,0
MNST,0
MO,0
MOH,2
MOS,2
MPC,2
MPWR,2
MRK,0
MRO,2
MS,0
MSCI,2
MSFT,0
MSI,0
MTB,3
MTCH,2
MTD,0
MU,2
NCLH,3
NDAQ,0
NDSN,0
NEE,0
NEM,0
NFLX,2
NI,0
NKE,0
NLOK,0
NOC,0
NOW,2
NRG,2
NSC,0
NTAP,2
NTRS,0
NUE,2
NVDA,2
NVR,2
NWL,3
NWS,0
NWSA,0
NXPI,2
O,0
ODFL,2
OKE,2
OMC,0
ON,2
ORCL,0
ORLY,0
OXY,2
PARA,3
PAYC,2
PAYX,0
PCAR,0
PCG,3
PEAK,0
PEG,0
PEP,0
PFE,0
PFG,0
PG,0
PGR,0
PH,0
PHM,2
PKG,0
PKI,0
PLD,0
PM,0
PNC,0
PNR,0
PNW,0
POOL,0
PPG,0
PPL,0
PRU,3
PSA,0
PSX,3
PTC,2
PWR,2
PXD,2
PYPL,2
QCOM,2
QRVO,2
RCL,3
RE,0
REG,3
REGN,0
RF,2
RHI,0
RJF,2
RL,3
RMD,2
ROK,0
ROL,0
ROP,0
ROST,3
RSG,0
RTX,0
SBAC,0
SBNY,3
SBUX,0
SCHW,0
SEDG,1
SEE,0
SHW,0
SIVB,3
SJM,0
SLB,3
SNA,0
SNPS,2
SO,0
SPG,3
SPGI,0
SRE,0
STE,0
STT,3
STX,2
STZ,0
SWK,3
SWKS,3
SYF,3
SYK,0
SYY,0
T,0
TAP,3
TDG,2
TDY,0
TECH,0
TEL,0
TER,2
TFC,3
TFX,0
TGT,0
TJX,0
TMO,0
TMUS,0
TPR,3
TRGP,2
TRMB,0
TROW,0
TRV,0
TSCO,0
TSLA,1
TSN,0
TT,0
TTWO,2
TXN,0
TXT,3
TYL,0
UAL,3
UDR,0
UHS,3
ULTA,2
UNH,0
UNP,0
UPS,0
URI,2
USB,0
V,0
VFC,3
VLO,2
VMC,0
VNO,3
VRSK,0
VRSN,0
VRTX,2
VTR,3
VTRS,3
VZ,0
WAB,3
WAT,0
WBA,3
WBD,3
WDC,3
WEC,0
WELL,3
WFC,3
WHR,3
WM,0
WMB,0
WMT,0
WRB,0
WRK,3
WST,0
WTW,0
WY,3
WYNN,3
XEL,0
XOM,0
XRAY,3
XYL,0
YUM,0
ZBH,0
ZBRA,2
ZION,3
ZTS,0
